__time,/mavros/local_position/pose/header/stamp/nanosec,/mavros/local_position/pose/header/stamp/sec,/mavros/local_position/pose/pose/orientation/w,/mavros/local_position/pose/pose/orientation/x,/mavros/local_position/pose/pose/orientation/y,/mavros/local_position/pose/pose/orientation/z,/mavros/local_position/pose/pose/position/x,/mavros/local_position/pose/pose/position/y,/mavros/local_position/pose/pose/position/z,/state_vector/data[0],/state_vector/data[1],/state_vector/data[2],/state_vector/data[3],/state_vector/data[4],/state_vector/data[5],/state_vector/data[6],/state_vector/data[7],/state_vector/data[8],/state_vector/data[9],/state_vector/layout/data_offset
1709397268.159819,364863787.000000000,1709397152.000000000,-0.583909415,-0.030468238,0.013560852,0.811133485,0.622871995,-0.268383145,9.724728584,,,,,,,,,,,
1709397268.205663,408123957.000000000,1709397152.000000000,-0.582683194,-0.028843045,0.016000491,0.812029780,0.628161311,-0.285971493,9.719057083,,,,,,,,,,,
1709397268.254742,458543880.000000000,1709397152.000000000,-0.581434899,-0.027633045,0.017387877,0.812937613,0.636329353,-0.315244853,9.712076187,,,,,,,,,,,
1709397268.295781,499285294.000000000,1709397152.000000000,-0.579215773,-0.025876075,0.018580189,0.814551595,0.642196715,-0.338677913,9.711502075,,,,,,,,,,,
1709397268.342366,548435124.000000000,1709397152.000000000,-0.576285260,-0.023720558,0.019756398,0.816665385,0.647489667,-0.362076998,9.714843750,,,,,,,,,,,
1709397268.376361,580704771.000000000,1709397152.000000000,-0.574943895,-0.022932266,0.020165050,0.817622793,0.652164221,-0.385276735,9.720872879,,,,,,,,,,,
1709397268.425841,631064358.000000000,1709397152.000000000,-0.571172374,-0.020953502,0.021019815,0.820293439,0.657250464,-0.413961232,9.730499268,,,,,,,,,,,
1709397268.472625,678142468.000000000,1709397152.000000000,-0.566911496,-0.018763223,0.021836459,0.823275497,0.662753761,-0.436143517,9.739479065,,,,,,,,,,,
1709397268.507964,713947660.000000000,1709397152.000000000,-0.564653078,-0.017729210,0.022088498,0.824842285,0.668344975,-0.457945406,9.747853279,,,,,,,,,,,
1709397268.549573,752033584.000000000,1709397152.000000000,-0.559941345,-0.015697166,0.022429074,0.828079890,0.673484027,-0.479550332,9.753459930,,,,,,,,,,,
1709397268.585210,790955624.000000000,1709397152.000000000,-0.555055545,-0.013945891,0.022485115,0.831392348,0.678225517,-0.500950515,9.755807877,,,,,,,,,,,
1709397268.619442,823641590.000000000,1709397152.000000000,-0.552556943,-0.013172672,0.022459965,0.833068412,0.682258725,-0.523076713,9.753138542,,,,,,,,,,,
1709397268.663502,867783926.000000000,1709397152.000000000,-0.547386736,-0.011603488,0.022667255,0.836492306,0.686590731,-0.550582886,9.747478485,,,,,,,,,,,
1709397268.701271,903997710.000000000,1709397152.000000000,-0.542081238,-0.010255620,0.023068426,0.839946883,0.689595163,-0.572109282,9.742391586,,,,,,,,,,,
1709397268.737058,942950222.000000000,1709397152.000000000,-0.539421414,-0.009666258,0.023275561,0.841658741,0.692366183,-0.592791200,9.738929749,,,,,,,,,,,
1709397268.780314,984901939.000000000,1709397152.000000000,-0.534601500,-0.008667193,0.023718353,0.844726863,0.695319295,-0.611958265,9.738563538,,,,,,,,,,,
1709397268.823264,29216193.000000000,1709397153.000000000,-0.528724365,-0.007614606,0.024201528,0.848414385,0.697689176,-0.630677462,9.741202354,,,,,,,,,,,
1709397268.849101,55017056.000000000,1709397153.000000000,-0.526596581,-0.007250154,0.024390447,0.849734551,0.699536264,-0.648962080,9.745839119,,,,,,,,,,,
1709397268.886490,92549736.000000000,1709397153.000000000,-0.521371025,-0.006460053,0.024761964,0.852946330,0.700385034,-0.666337192,9.751664162,,,,,,,,,,,
